sep=,
DeviceTag:,Xsens DOT
FirmwareVersion:,2.2.1
AppVersion:,2022.0.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2023-03-23_23:28:45_563 GMT+8
© Xsens Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
118,364668386,0.651480,-0.379273,-0.567349,-0.331422,0.244083,0.087327,0.006777
119,364685053,0.647070,-0.370038,-0.575282,-0.336782,-0.011915,0.018681,0.017072
120,364701720,0.647046,-0.370075,-0.575278,-0.336796,-0.012309,0.000926,0.012068
121,364718387,0.647035,-0.370085,-0.575280,-0.336803,-0.008513,-0.011572,0.008376
122,364735054,0.647039,-0.370096,-0.575261,-0.336816,-0.001734,0.011392,0.011541
123,364751721,0.647039,-0.370095,-0.575266,-0.336807,-0.001731,-0.018233,0.016370
124,364768388,0.647046,-0.370083,-0.575275,-0.336791,-0.016407,0.009267,0.001170
125,364785055,0.647041,-0.370084,-0.575279,-0.336794,0.000516,-0.009323,0.020347
126,364801722,0.647045,-0.370082,-0.575271,-0.336803,-0.013647,0.011814,0.022141
127,364818389,0.647037,-0.370089,-0.575272,-0.336807,0.002892,-0.017021,0.015875
128,364835056,0.647024,-0.370107,-0.575264,-0.336826,-0.005377,0.025988,0.008240
129,364851723,0.647017,-0.370117,-0.575261,-0.336834,0.001727,-0.000399,0.018564
130,364868390,0.647021,-0.370119,-0.575258,-0.336829,-0.004133,-0.008806,0.003695
131,364885057,0.647025,-0.370122,-0.575247,-0.336836,0.002482,0.003903,0.013801
132,364901724,0.647021,-0.370122,-0.575252,-0.336837,-0.002784,-0.005911,-0.000586
133,364918391,0.647012,-0.370138,-0.575246,-0.336847,-0.001986,-0.021406,0.013494
134,364935058,0.647007,-0.370142,-0.575247,-0.336849,-0.016421,0.008585,0.015889
135,364951725,0.647003,-0.370148,-0.575245,-0.336855,0.006024,0.016191,0.014908
136,364968392,0.646996,-0.370156,-0.575239,-0.336869,-0.003346,0.020757,0.020250
137,364985059,0.646985,-0.370170,-0.575232,-0.336887,-0.013488,0.005120,0.013829
138,365001726,0.646989,-0.370183,-0.575221,-0.336884,-0.010293,0.007515,0.009838
139,365018393,0.646994,-0.370178,-0.575225,-0.336875,-0.006029,0.001376,0.011264
140,365035060,0.647002,-0.370174,-0.575225,-0.336862,-0.002386,-0.003046,0.006915
141,365051727,0.647001,-0.370171,-0.575229,-0.336861,-0.003306,0.002481,0.010180
142,365068394,0.647005,-0.370161,-0.575230,-0.336862,-0.007563,0.016469,0.006701
143,365085061,0.647007,-0.370159,-0.575225,-0.336868,-0.019565,0.009062,0.009356
144,365101728,0.647008,-0.370161,-0.575219,-0.336875,0.007069,0.001299,-0.001211
145,365118395,0.647014,-0.370157,-0.575216,-0.336872,-0.006352,0.002698,0.001534
